CRIMETYPE,BEGDATE,X,Y,time,difftime
OTH,1/1/09 0:00,6429079.7,1877340.1,39814,0.192996931
OTH,1/1/09 0:00,6466838.2,1842426,39814,0.19357283
OTH,1/1/09 0:00,6467525.3,1825537.3,39814,0.193663431
OTH,1/1/09 0:00,6404711,1919540.4,39814,0.19403123
THEFT,1/1/09 0:00,6439183.4,1919858.2,39814,0.194326568
OTH,1/1/09 0:00,6481298.3,1864474.6,39814,0.19537657
VAND,1/1/09 0:00,6462827.3,1860568.5,39814,0.195699004
OTH,1/1/09 0:00,6452320.8,1838378.1,39814,0.19768454
OTH,1/1/09 0:00,6470644.2,1854139,39814,0.197723788
OTH,1/1/09 0:00,6460106.5,1825626.629,39814,0.199241054
OTH,1/1/09 0:00,6451006.999,1887759.503,39814,0.200567981
OTH,1/1/09 0:00,6493757.912,1839572.247,39814,0.201235331
VAND,1/1/09 0:00,6387604.924,1903016.962,39814,0.201458719
OTH,1/1/09 0:00,6400633.1,1886497.8,39814,0.20208364
OTH,1/1/09 0:00,6361883.2,1890719.9,39814,0.203281478
ROBB,1/1/09 0:00,6466768.497,1841033.373,39814,0.204677685
ROBB,1/1/09 0:00,6482583.497,1806333.502,39814,0.204993828
THEFT,1/1/09 0:00,6460511.2,1844309.4,39814,0.205015383
OTH,1/1/09 0:00,6430982.6,1914769.4,39814,0.205855757
OTH,1/1/09 0:00,6495548.8,1860835.7,39814,0.205889135
OTH,1/1/09 0:00,6462925.6,1825414.7,39814,0.207730695
OTH,1/1/09 0:00,6460678.4,1859456.1,39814,0.209060596
BURG,1/1/09 0:00,6458916.66,1870541.689,39814,0.210746857
OTH,1/1/09 0:00,6428571.5,1895314.6,39814,0.210993677
OTH,1/1/09 0:00,6470221.611,1859594.803,39814,0.212850546
THEFT,1/1/09 0:00,6467347.5,1915624.4,39814,0.212983551
OTH,1/1/09 0:00,6399915.3,1887342.2,39814,0.213246877
OTH,1/1/09 0:00,6488322.895,1840971.542,39814,0.213574033
THEFT,1/1/09 0:00,6378365.4,1911673.1,39814,0.213614065
VAND,1/1/09 0:00,6475112.9,1726379.3,39814,0.214604301
THEFT,1/1/09 0:00,6472343.5,1819013.7,39814,0.214736175
BTFV,1/1/09 0:00,6487994.5,1839228.7,39814,0.215186793
THEFT,1/1/09 0:00,6482363.5,1825873,39814,0.216923922
OTH,1/1/09 0:00,6475909.7,1815256.5,39814,0.217984234
OTH,1/1/09 0:00,6387203.193,1893435.496,39814,0.219344528
